DATE,Open,High,Low,Close,Adj Close,Volume
1/1/1995,15.65625,16.09375,15.34375,15.96875,8.522659,91049600
2/1/1995,15.65625,16.09375,15.34375,15.96875,8.522659,91049600
3/1/1995,15.96875,16.75,15.6875,16.65625,8.997122,110820400
4/1/1995,16.625,17.5625,16.5,17.375,9.385364,109906800
5/1/1995,17.4375,17.96875,17.34375,17.84375,9.638564,116496800
6/1/1995,17.8125,18.09375,17.125,17.65625,9.638922,123768800
7/1/1995,17.65625,18.46875,17.65625,18.125,9.894824,99212800
8/1/1995,18.09375,18.09375,17.03125,17.1875,9.383022,102002400
9/1/1995,17.15625,18.5625,17.15625,18.0625,9.966168,101004400
10/1/1995,18.03125,19.21875,17.84375,19.09375,10.535165,99992400
11/1/1995,19.09375,20.03125,18.65625,19.34375,10.673109,88534400
12/1/1995,19.3125,21.5,19.28125,20.28125,11.300994,135798000
1/1/1996,20.0625,21.25,19.40625,20.0625,11.179108,132827200
2/1/1996,20.0625,21.15625,19.53125,19.875,11.074622,131040000
3/1/1996,19.90625,21.5,19.40625,20.375,11.458679,159090800
4/1/1996,20.53125,21.5,19.96875,21.25,11.950779,137387200
5/1/1996,21.15625,22.1875,20.5,21.1875,11.91563,141999200
6/1/1996,21.125,21.875,20.84375,21.71875,12.330881,111288400
7/1/1996,21.75,22.53125,20.34375,20.5625,11.674416,143424400
8/1/1996,20.546875,21.25,20,20.375,11.567961,144430400
9/1/1996,20.75,21.8125,20.6875,20.8125,11.930426,121342000
10/1/1996,20.8125,22.625,20.71875,22.15625,12.700708,133687200
11/1/1996,22.1875,23.90625,21.9375,23.59375,13.524737,110096400
12/1/1996,23.53125,25.3125,23.28125,24.5,14.170537,132886000
1/1/1997,24.5625,26.75,24.125,25.90625,14.9839,185108000
2/1/1997,25.90625,26.3125,24.96875,25.0625,14.495885,124623200
3/1/1997,24.75,27.8125,24.71875,26.9375,15.700934,156667200
4/1/1997,26.75,28.5,24.9375,28.3125,16.502377,163431600
5/1/1997,27.875,30.125,27.3125,29.625,17.267382,142339000
6/1/1997,29.75,32.5625,29.4375,30.625,17.977337,144493400
7/1/1997,30.75,32.8125,30,32.125,18.857855,136330400
8/1/1997,32.125,32.71875,29.3125,30.59375,17.95899,127969200
9/1/1997,30.65625,33.625,30.59375,32.03125,18.927996,122988800
10/1/1997,32.125,33.4375,27.375,30.71875,18.152399,152865400
11/1/1997,31.0625,32.0625,29.3125,30.5,18.023144,107004200
12/1/1997,30.5,32.375,29.625,30.59375,18.20038,123933800
1/1/1998,30.53125,31.09375,28.3125,29.65625,17.642653,149596000
2/1/1998,30.375,32.21875,30.09375,31.875,18.962597,115262800
3/1/1998,31.9375,35,31.0625,33.8125,20.249268,145353800
4/1/1998,33.875,37.34375,32.6875,36.53125,21.877434,141879800
5/1/1998,37,38,34.5,35.25,21.110136,116825200
6/1/1998,35.25,36.53125,33.6875,35.6875,21.492554,136540200
7/1/1998,36.03125,36.90625,34.09375,35.125,21.153788,113450400
8/1/1998,34.8125,36.03125,32,32.71875,19.704636,160266200
9/1/1998,32.25,35.78125,31,35.3125,21.396433,171152400
10/1/1998,35.09375,38.46875,34.71875,35.8125,21.699394,185060600
11/1/1998,35.6875,38.65625,34.78125,37.5,22.721874,133619800
12/1/1998,36.25,38.34375,35.03125,36.5625,22.278103,191454400
1/1/1999,36.375,37.90625,34.78125,35.125,21.402212,152538200
2/1/1999,35.03125,36.71875,33.1875,33.28125,20.278784,160680200
3/1/1999,33.15625,38.1875,32.15625,35.28125,21.621071,206410000
4/1/1999,35.15625,42.625,34.71875,41.53125,25.451191,196539400
5/1/1999,41.5,43.625,38.78125,39.9375,24.47451,180442400
6/1/1999,39.8125,41.71875,37.4375,38.5625,23.749292,156534200
7/1/1999,38.5625,40.8125,37.65625,39.6875,24.442135,149662400
8/1/1999,39.875,41.46875,38.65625,39.4375,24.288176,158931400
9/1/1999,39.5,41.5,36.0625,38,23.521654,165429800
10/1/1999,37.96875,38.46875,35.625,37.03125,22.92201,176728200
11/1/1999,37.03125,40.6875,35.03125,39.65625,24.546858,177529000
12/1/1999,39.625,43.28125,39.625,40.28125,25.082239,222137400
1/1/2000,39.75,43.15625,38.25,41.4375,25.802214,250602200
2/1/2000,41.65625,42.4375,34.9375,37.65625,23.447712,221046200
3/1/2000,37.6875,41,36,39,24.420555,279745400
4/1/2000,38.875,41.5625,37.5,38.84375,24.32271,201420000
5/1/2000,39.15625,41.96875,38.5,41.65625,26.083805,193631800
6/1/2000,41.78125,42.375,38.84375,39.25,24.710499,235361600
7/1/2000,39.40625,40.5625,37.5625,40.09375,25.241695,204308600
8/1/2000,40.46875,42.375,39.875,40.820301,25.699114,186959200
9/1/2000,41,45.375,40.875,44.554649,28.203211,273431600
10/1/2000,44.6875,47.71875,42.90625,44.59375,28.22798,277293600
11/1/2000,44.96875,47.34375,43.28125,44,27.852112,219069400
12/1/2000,43.96875,45.6875,42.03125,43.46875,27.649986,246466000
1/1/2001,43.34375,44.875,39.34375,42.075001,26.763451,311749600
2/1/2001,42.075001,43.325001,40.450001,40.525002,25.777504,202850800
3/1/2001,40.400002,43.244999,37.599998,40.5,25.8967,277832200
4/1/2001,40.5,44.939999,38.5,44.299999,28.326515,265479800
5/1/2001,44.400002,45.325001,42.724998,44.375,28.374462,256474800
6/1/2001,44.5,45.834999,43.080002,43.674999,28.064507,249846400
7/1/2001,44.125,44.400002,40.52,41.759998,26.840006,225712600
8/1/2001,42.450001,42.490002,40.049999,40.150002,25.805239,190175200
9/1/2001,40.599998,41.5,35.009998,39.400002,25.465181,194900700
10/1/2001,39.25,42.700001,38.049999,39.450001,25.497503,225004000
11/1/2001,39.450001,40.580002,36.759998,37.400002,24.172525,241588300
12/1/2001,37.400002,40.299999,36.41,39.299999,25.549435,239401800
1/1/2002,39.299999,40.09,37.799999,39.049999,25.386909,199811900
2/1/2002,39.150002,41.799999,37.599998,41.299999,26.849651,201045400
